analysis_id,p5a605d4n025tp1
mouse_life_stage,Early adult
pvalue,0.6320051
parameter_name,Aggression
gene_symbol,Atrn
mouse_strain,C57BL
parameter_id,IMPC_CSD_079_001
gene_accession_id,MGI:1341628
