parameter_name,Bone Area
mouse_strain,C57BL
gene_symbol,Col6a3
gene_accession_id,MGI:88461
mouse_life_stage,Early adult
analysis_id,444cm958i715g39
parameter_id,IMPC_DXA_010_001
pvalue,0.3510633
