analysis_id,789qm9qpx1221iv
mouse_life_stage,Early adult
parameter_name,Periphery - Permanence Time
pvalue,0.590312
parameter_id,M-G-P_007_001_008
mouse_strain,C57BL
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
