gene_symbol,Trpa1
parameter_id,MGP_IMM_100_001
mouse_life_stage,Early adult
pvalue,0.5358541
analysis_id,90v01qto36ag46v
gene_accession_id,MGI:3522699
parameter_name,Resting NK cells - % of CD45+
mouse_strain,C57BL
