parameter_name,30kHz-evoked ABR Threshold
gene_symbol,Rab13
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1927232
parameter_id,IMPC_ABR_012_001
pvalue,0.6314104
analysis_id,i447j876y71ab6b
