analysis_id,921m6511hrvky4a
mouse_strain,C57BL
gene_symbol,Zfp683
mouse_life_stage,Early adult
gene_accession_id,MGI:3650254
pvalue,0.08753626
parameter_id,ESLIM_008_001_017
parameter_name,Limb grasping
