analysis_id,5nnw637c7f521d1
gene_accession_id,MGI:2443129
pvalue,0.8463201
parameter_id,JAX_OFD_017_001
mouse_strain,C57BL
gene_symbol,Golm2
parameter_name,Center average speed
mouse_life_stage,Early adult
