parameter_name,Whole arena average speed
mouse_life_stage,Early adult
gene_accession_id,MGI:88071
gene_symbol,Arnt
mouse_strain,C52BL
analysis_id,6732v85o90fi6w2
parameter_id,JAXLA_OFD_009_001
pvalue,0.563495
