parameter_name,Percent time in dark
gene_accession_id,MGI:1915325
mouse_life_stage,Early adult
pvalue,0.5752255
mouse_strain,C57BL
analysis_id,7l999qu8h2z2e11
gene_symbol,Lurap1
parameter_id,JAX_LDT_008_001
