gene_symbol,S100a3
analysis_id,b8g23p1gl1a4801
pvalue,0.8379262
gene_accession_id,MGI:1338849
parameter_name,Heart weight
mouse_strain,C57BL
parameter_id,HMGULA_HWT_008_001
mouse_life_stage,Early adult
