analysis_id,d489b0042bngajh
parameter_name,End-Systolic Diameter
parameter_id,IMPC_ECH_001_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1927379
gene_symbol,Rhbg
pvalue,0.2388989
