analysis_id,fxn96941desy4b6
gene_symbol,Psmd14
mouse_strain,C57BL
parameter_name,Resting CD8+ T cells - % of CD8+
gene_accession_id,MGI:1913284
pvalue,0.1441648
parameter_id,MGP_MLN_014_001
mouse_life_stage,Early adult
