analysis_id,c5undh4on10p8dp
gene_symbol,Bcs1l
parameter_id,HRWLLA_OFD_020_001
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.7554432
gene_accession_id,MGI:1914071
parameter_name,Distance travelled - total
