gene_symbol,Cds2
analysis_id,1uqydz834ao1h2s
pvalue,0.3679607
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_003_001
gene_accession_id,MGI:1332236
parameter_name,Chloride
mouse_strain,129SV
