parameter_id,IMPC_LDT_006_001
parameter_name,Latency to first transition into dark
analysis_id,06w5r64815hcgxf
mouse_life_stage,Early adult
gene_accession_id,MGI:1920344
mouse_strain,C57BL
pvalue,0.382905
gene_symbol,Sgip1
