analysis_id,a1u9ki0d96s0qp0
gene_accession_id,MGI:2446274
pvalue,0.2817517
gene_symbol,Frmpd1
mouse_strain,C57BL
parameter_name,Placenta Morphology
parameter_id,IMPC_GPO_002_001
mouse_life_stage,Early adult
