analysis_id,1p6663iw8425vf8
gene_symbol,Rufy4
parameter_id,IMPC_CBC_053_001
gene_accession_id,MGI:3588214
mouse_life_stage,Early adult
pvalue,0.9807806
parameter_name,Thyroxine
mouse_strain,C57BL
