parameter_id,HRWLLA_OFD_017_001
gene_accession_id,MGI:99605
analysis_id,t4i7w6d9j271bpj
pvalue,0.1352967
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Cntfr
parameter_name,Center average speed
