gene_symbol,Pex19
mouse_strain,C57BL
parameter_name,Triglycerides
analysis_id,z915d40f714129i
parameter_id,HMGULA_CBC_017_001
mouse_life_stage,E18.5
pvalue,0.2661365
gene_accession_id,MGI:1334458
