parameter_name,Distance travelled - total
gene_symbol,Hspa5
mouse_strain,C57BL
analysis_id,pqbou8lvb6n4500
pvalue,0.6058731
gene_accession_id,MGI:95835
parameter_id,JAXLA_OFD_020_001
mouse_life_stage,E12.5
