parameter_name,BMC/Body weight
analysis_id,292e9vu758l2457
gene_accession_id,MGI:1927379
parameter_id,JAXLA_DXA_007_001
pvalue,0.2911443
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Rhbg
