gene_symbol,Car13
gene_accession_id,MGI:1931322
analysis_id,26586g04okw5fd9
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7208161
parameter_id,IMPC_CBC_010_001
parameter_name,Phosphorus
