parameter_name,Glucose
analysis_id,63z1k8di5n7022y
mouse_life_stage,Early adult
pvalue,0.08590186
gene_symbol,Golm2
gene_accession_id,MGI:2443129
mouse_strain,C57BL
parameter_id,HMGULA_CBC_018_001
