analysis_id,zgs9vfecn3bizrm
gene_accession_id,MGI:1336200
mouse_life_stage,Late adult
gene_symbol,Hpca
parameter_name,Total ab T cells - % of CD45+
pvalue,0.4436909
mouse_strain,C57BL
parameter_id,MGP_MLN_063_001
