analysis_id,5vy035n0uwow9vb
parameter_id,ESLIM_011_001_007
mouse_life_stage,Early adult
gene_symbol,Arnt
pvalue,0.3578206
mouse_strain,C57BL
parameter_name,PP1 + pulse startle magnitude
gene_accession_id,MGI:88071
