gene_symbol,Arnt
analysis_id,4xvq4g06g89zl88
pvalue,0.2437713
gene_accession_id,MGI:88071
mouse_strain,C57BL
parameter_id,IMPC_GEL_057_001
parameter_name,Heart looping
mouse_life_stage,Early adult
