analysis_id,nwef0d04xdc0yk3
mouse_life_stage,Early adult
parameter_id,M-G-P_016_001_001
mouse_strain,C57BL
gene_accession_id,MGI:1916363
parameter_name,White blood cell-count
gene_symbol,Alkbh3
pvalue,0.2104333
