analysis_id,h8ix9x81614cd54
mouse_strain,C57BL
parameter_id,MGP_PBI_015_001
gene_accession_id,MGI:88380
mouse_life_stage,Early adult
pvalue,0.799686
gene_symbol,F2
parameter_name,IgD+ mature B cell percentage
