parameter_name,Shape of vertebrae
pvalue,0.2542348
gene_accession_id,MGI:1336200
gene_symbol,Hpca
parameter_id,IMPC_XRY_018_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,t5r4858yoqy47t2
