gene_symbol,Cisd2
gene_accession_id,MGI:1914256
mouse_strain,C57BL
parameter_name,Snout size
parameter_id,IMPC_CSD_028_001
mouse_life_stage,Early adult
analysis_id,29ftipa0qg1596w
pvalue,0.3852137
