gene_symbol,Bach2
parameter_name,Effector NK cells - % of NK cells
parameter_id,MGP_MLN_032_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,49ipc3gr106a9s6
gene_accession_id,MGI:894679
pvalue,0.7522644
