analysis_id,31899cw21v553ey
pvalue,0.5331254
parameter_name,B2B Cells
mouse_strain,C57BL
parameter_id,IMPC_IMM_065_001
gene_symbol,Kdm5b
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
