analysis_id,h4k115y1zhqa046
mouse_strain,C57BL
parameter_id,IMPC_EYE_017_001
gene_symbol,Tatdn3
parameter_name,Lens Opacity
mouse_life_stage,Early adult
pvalue,0.07274765
gene_accession_id,MGI:1916222
