parameter_id,UCD_OWT_008_001
analysis_id,6we01m0cm909773
mouse_strain,C57BL
pvalue,0.9954816
parameter_name,Liver weight
gene_symbol,Steap3
mouse_life_stage,Early adult
gene_accession_id,MGI:1915678
