gene_symbol,Bmi1
gene_accession_id,MGI:88174
mouse_life_stage,E15.5
parameter_id,MGP_BMI_006_001
mouse_strain,C57BL
analysis_id,yk1cp617ivqvny6
pvalue,0.6624366
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
