parameter_name,Total food intake
mouse_life_stage,Early adult
gene_symbol,Atf3
parameter_id,IMPC_CAL_008_001
analysis_id,0cp72r5f2i85679
gene_accession_id,MGI:109384
pvalue,0.8898168
mouse_strain,C57BL
