parameter_name,NKT cells (panel A)
analysis_id,l1ufnnx7sqwdhqm
gene_accession_id,MGI:1921442
gene_symbol,Arpc5l
parameter_id,IMPC_IMM_004_001
mouse_life_stage,Early adult
pvalue,0.4183485
mouse_strain,C57BL
