parameter_name,HR
gene_symbol,Wars2
pvalue,0.08509196
parameter_id,JAXLA_ECG_002_001
analysis_id,16e2wi75w2c8t2v
mouse_life_stage,Early adult
gene_accession_id,MGI:1917810
mouse_strain,C57BL
