gene_symbol,Hnf4a
analysis_id,q193g226qo7927b
mouse_strain,C57BL
gene_accession_id,MGI:109128
parameter_id,ESLIM_011_001_010
parameter_name,PP4 + pulse startle magnitude
pvalue,0.2242467
mouse_life_stage,Late adult
