parameter_name,B1B Cells
analysis_id,96di2494gl7166l
gene_accession_id,MGI:1921442
pvalue,0.3626084
gene_symbol,Arpc5l
parameter_id,IMPC_IMM_064_001
mouse_strain,C57BL
mouse_life_stage,Early adult
