gene_symbol,Trdmt1
mouse_strain,C57BL
analysis_id,2072501ojj7dwc7
pvalue,0.2370301
gene_accession_id,MGI:1274787
parameter_name,Others
parameter_id,IMPC_IMM_006_001
mouse_life_stage,Early adult
