analysis_id,eoi3687vim2ho20
gene_symbol,Slc39a10
parameter_id,MGP_PBI_040_001
mouse_strain,C57BL
gene_accession_id,MGI:1914515
pvalue,0.8758861
mouse_life_stage,Early adult
parameter_name,Eosinophil number
