analysis_id,v5g497j6e1r6w9d
gene_symbol,Hpca
parameter_name,Glucose
parameter_id,HMGULA_CBC_018_001
pvalue,0.3415731
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1336200
