analysis_id,83267np755245rb
gene_symbol,Usp37
parameter_id,MGP_MLN_009_001
parameter_name,Effector Treg cells - % of Treg
mouse_strain,C57BL
gene_accession_id,MGI:2442483
pvalue,0.3946683
mouse_life_stage,Early adult
