parameter_name,Clavicle
mouse_strain,C54BL
mouse_life_stage,Early adult
analysis_id,7cq7hy22zwm37de
pvalue,0.0525939
gene_symbol,Mecom
parameter_id,IMPC_XRY_007_001
gene_accession_id,MGI:95457
