parameter_name,ST
gene_accession_id,MGI:1919935
parameter_id,IMPC_ECG_008_001
analysis_id,8596fb68cv63a87
gene_symbol,Dnajc6
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.882673
