analysis_id,4hx30e71707kp8j
parameter_name,Body Weight
pvalue,0.4146547
parameter_id,M-G-P_020_001_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
