parameter_id,HMGULA_CBC_015_001
analysis_id,s65z7u4el7orhsi
parameter_name,Total cholesterol
gene_accession_id,MGI:1916363
gene_symbol,Alkbh3
pvalue,0.7051101
mouse_life_stage,Early adult
mouse_strain,C57BL
