parameter_id,IMPC_OWT_004_001
parameter_name,Right kidney weight
mouse_life_stage,Early adult
gene_accession_id,MGI:1915678
analysis_id,ttp4670m0i8qd31
mouse_strain,C57BL
pvalue,0.5423181
gene_symbol,Steap3
