analysis_id,jf25tg61d6242f7
gene_symbol,Zc2hc1a
gene_accession_id,MGI:1914556
mouse_strain,C57BL
pvalue,0.1210749
parameter_name,Startle Response
mouse_life_stage,Early adult
parameter_id,M-G-P_008_001_013
