parameter_name,Phosphorus
gene_symbol,Ola1
mouse_strain,C57BL
analysis_id,z0068dvj315345c
pvalue,0.6510181
gene_accession_id,MGI:1914309
parameter_id,IMPC_CBC_010_001
mouse_life_stage,Early adult
