parameter_id,MGP_PBI_019_001
gene_accession_id,MGI:88174
mouse_strain,C57BL
mouse_life_stage,E12.5
analysis_id,ee85f36ewvp7aw0
pvalue,0.3475875
gene_symbol,Bmi1
parameter_name,Neutrophil percentage
