gene_symbol,Rufy4
parameter_name,Fasted blood glucose concentration
mouse_life_stage,Early adult
analysis_id,mpqwj558ya4zirh
gene_accession_id,MGI:3588214
pvalue,0.5478776
parameter_id,IMPC_IPG_010_001
mouse_strain,C57BL
