analysis_id,480ee94wr2z6p9h
mouse_life_stage,Early adult
gene_symbol,Bpifa3
mouse_strain,C57BL
parameter_id,IMPC_GEL_029_001
pvalue,0.5396704
gene_accession_id,MGI:1920638
parameter_name,Midbrain
