parameter_id,MGP_MLN_006_001
pvalue,0.9829476
analysis_id,9otm42ai7sbkyz3
gene_accession_id,MGI:1914561
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
mouse_life_stage,E18.5
gene_symbol,Nanp
