gene_symbol,Secisbp2l
parameter_name,Vibrissae - appearance
mouse_strain,C57BL
gene_accession_id,MGI:1917604
parameter_id,HMGULA_DYS_024_001
pvalue,0.7569056
mouse_life_stage,Early adult
analysis_id,w13ofiv7r1imgoh
