parameter_id,IMPC_CBC_058_001
gene_symbol,Atg4c
gene_accession_id,MGI:2651854
analysis_id,96539167zv184up
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2676622
parameter_name,Cholesterol ratio
