analysis_id,9q4t746vb448094
mouse_life_stage,Early adult
pvalue,0.9371038
parameter_id,GMC_906_001_005
mouse_strain,C57BL
parameter_name,Potassium
gene_symbol,Exd1
gene_accession_id,MGI:3045306
