gene_symbol,Bach2
parameter_name,Follicular B cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
mouse_strain,C57BL
pvalue,0
analysis_id,i21v8vi8bq78h75
parameter_id,MGP_IMM_112_001
