analysis_id,b67zb0kbbi328xq
mouse_strain,C57BL
parameter_name,Triglycerides
parameter_id,HMGULA_CBC_017_001
gene_accession_id,MGI:1913483
mouse_life_stage,E9.5
gene_symbol,Dmap1
pvalue,0.45186
