analysis_id,n2r58z89x631463
mouse_strain,C57BL
parameter_id,IMPC_HEM_037_001
parameter_name,Basophil cell count
mouse_life_stage,Early adult
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
pvalue,0.05639688
