parameter_name,Whole arena average speed
analysis_id,iq7r1b26s2lnn85
mouse_strain,C57BL
gene_accession_id,MGI:95835
parameter_id,IMPC_OFD_009_001
pvalue,0.09810026
mouse_life_stage,E12.5
gene_symbol,Hspa5
