parameter_name,Click-evoked ABR threshold
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_id,IMPC_ABR_002_001
gene_accession_id,MGI:109356
analysis_id,uakesx74yvk36fr
pvalue,0.3291939
gene_symbol,Snap23
