gene_symbol,Eprs1
gene_accession_id,MGI:97838
pvalue,0.9287595
mouse_strain,C57BL
parameter_id,MGP_MLN_001_001
analysis_id,3zi882x6i78pe8h
mouse_life_stage,Early adult
parameter_name,Total T cells - % of CD45+
